['function', 'address', 'id']
['PlayerAccountPromotionV1AccountDetailsClear', '0000000010143930', '344']
['PlayerAccountPromotionV1AccountDetailsInit', '0000000010143760', '345']
['PlayerAccountPromotionV1AccountPromotionResponseClear', '0000000010143970', '346']
['PlayerAccountPromotionV1AccountPromotionResponseInit', '00000000101439E0', '347']
['PlayerAccountPromotionV1AccountPromotionValidationFailuresClear', '0000000010143A00', '348']
['PlayerAccountPromotionV1AccountPromotionValidationFailuresInit', '0000000010117820', '349']
['PlayerAccountPromotionV1EligibilityCheckResponseClear', '0000000010143A60', '350']
['PlayerAccountPromotionV1EligibilityCheckResponseInit', '0000000010143A90', '351']
['PlayerAccountPromotionV1UpdateableFieldsResponseClear', '0000000010117710', '352']
['PlayerAccountPromotionV1UpdateableFieldsResponseInit', '00000000100F3710', '353']
['PlayerAccountRegionsV1EligibilityCheckResponseClear', '0000000010143AB0', '354']
['PlayerAccountRegionsV1EligibilityCheckResponseInit', '0000000010143AE0', '355']
['PlayerAccountRegionsV1RegionAssignmentResponseClear', '00000000100F35F0', '356']
['PlayerAccountRegionsV1RegionAssignmentResponseInit', '0000000010143B00', '357']
['PlayerAccountVngV1StatusResponseClear', '00000000100F3FF0', '358']
['PlayerAccountVngV1StatusResponseInit', '00000000100F4020', '359']
['PlayerAccountVngV1WebUrlRequestClear', '00000000100F36E0', '360']
['PlayerAccountVngV1WebUrlRequestInit', '00000000100F3710', '361']
['PlayerAccountVngV1WebUrlResponseClear', '00000000100F3720', '362']
['PlayerAccountVngV1WebUrlResponseInit', '00000000100F3740', '363']
['PlayerAffinityAffinityV1AffinityInputClear', '00000000100F36E0', '364']
['PlayerAffinityAffinityV1AffinityInputInit', '00000000100F3710', '365']
['PlayerAffinityAffinityV2AffinityProductInputClear', '00000000100F3720', '366']
['PlayerAffinityAffinityV2AffinityProductInputInit', '00000000100F3740', '367']
['PlayerAffinityPlayerAffinityCachedProductAffinityClear', '00000000101176E0', '368']
['PlayerAffinityPlayerAffinityCachedProductAffinityInit', '00000000100F4730', '369']
['PlayerAffinityPlayerAffinityCachedServiceAffinityClear', '00000000100F36E0', '370']
['PlayerAffinityPlayerAffinityCachedServiceAffinityInit', '00000000100F3710', '371']
['PlayerAffinityPlayerAffinityPluginConfigClear', '00000000100F36E0', '372']
['PlayerAffinityPlayerAffinityPluginConfigInit', '00000000100F3710', '373']
['PlayerAffinityPlayerAffinityPluginStatusClear', '0000000010117730', '374']
['PlayerAffinityPlayerAffinityPluginStatusInit', '0000000010117730', '375']
['PlayerAffinityPlayerAffinityProductTokenClear', '0000000010143B30', '376']
['PlayerAffinityPlayerAffinityProductTokenInit', '00000000100F4890', '377']
['PlayerAffinityPlayerAffinityServiceTokenClear', '0000000010143B70', '378']
['PlayerAffinityPlayerAffinityServiceTokenInit', '00000000100F4AA0', '379']
['PlayerAffinityPlayerAffinityTokenClear', '0000000010143BB0', '380']
['PlayerAffinityPlayerAffinityTokenInit', '00000000100F4890', '381']
['PlayerAffinityPlayerAffinityTokenProductClear', '0000000010143C00', '382']
['PlayerAffinityPlayerAffinityTokenProductInit', '00000000100F3E70', '383']
['PlayerAffinityProductAffinityInputClear', '00000000100F3720', '384']
['PlayerAffinityProductAffinityInputInit', '00000000100F3740', '385']
['PlayerAffinityServiceAffinityInputClear', '00000000100F36E0', '386']
['PlayerAffinityServiceAffinityInputInit', '00000000100F3710', '387']
['PlayerReportingLocalizedReporterFeedbackMessageClear', '00000000100F4B00', '388']
['PlayerReportingLocalizedReporterFeedbackMessageInit', '00000000100F46D0', '389']
['PlayerReportingLocalizedReporterFeedbackMessageKVArrayClear', '0000000010143C50', '390']
['PlayerReportingLocalizedReporterFeedbackMessageKVArrayInit', '00000000100F3CC0', '391']
['PlayerReportingPlayerReportClear', '0000000010143CE0', '392']
['PlayerReportingPlayerReportInit', '00000000100F36C0', '393']
['PlayerSessionLifecycleAccessTokenClear', '0000000010143D20', '394']
['PlayerSessionLifecycleAccessTokenInit', '00000000100F4C10', '395']
['PlayerSessionLifecycleIdTokenClear', '0000000010117EF0', '396']
['PlayerSessionLifecycleIdTokenInit', '00000000100F4730', '397']
['PlayerSessionLifecycleInitiateLoginSessionRequestClear', '0000000010143D50', '398']
['PlayerSessionLifecycleInitiateLoginSessionRequestInit', '0000000010143D80', '399']
['PlayerSessionLifecyclePlayerSessionStateClear', '0000000010143DA0', '400']
['PlayerSessionLifecyclePlayerSessionStateInit', '0000000010143E30', '401']
['PrivacyPrivacySettingsClear', '00000000100F3FA0', '402']
['PrivacyPrivacySettingsInit', '00000000100F3FC0', '403']
['ProductIntegrationDepsAppRepairApplyRequestClear', '00000000100F36E0', '404']
['ProductIntegrationDepsAppRepairApplyRequestInit', '00000000100F3710', '405']
['ProductIntegrationDepsAppUpdateApplyRequestClear', '00000000100F3720', '406']
['ProductIntegrationDepsAppUpdateApplyRequestInit', '00000000100F3740', '407']
['ProductIntegrationDepsAppUpdateStatusClear', '00000000100F5110', '408']
['ProductIntegrationDepsAppUpdateStatusInit', '00000000100F5110', '409']
['ProductIntegrationProductIntegrationAppImmediateRepairRequestBodyClear', '0000000010117710', '410']
['ProductIntegrationProductIntegrationAppImmediateRepairRequestBodyInit', '00000000100F3710', '411']
['ProductIntegrationProductIntegrationAppImmediateRepairResponseBodyClear', '00000000100F3720', '412']
['ProductIntegrationProductIntegrationAppImmediateRepairResponseBodyInit', '00000000100F3740', '413']
['ProductIntegrationProductIntegrationAppRepairBodyClear', '00000000100F3720', '414']
['ProductIntegrationProductIntegrationAppRepairBodyInit', '00000000100F3740', '415']
['ProductIntegrationProductIntegrationAppUpdateStatusClear', '00000000100F5110', '416']
['ProductIntegrationProductIntegrationAppUpdateStatusInit', '00000000100F5110', '417']
['ProductLocalizationTranslateRequestClear', '0000000010143E60', '418']
['ProductLocalizationTranslateRequestInit', '0000000010143EA0', '419']
['ProductLocalizationTranslateResponseClear', '0000000010143EC0', '420']
['ProductLocalizationTranslateResponseInit', '00000000100F3710', '421']
['ProductLocalizationTranslateResultArrayClear', '0000000010143EE0', '422']
['ProductLocalizationTranslateResultArrayInit', '00000000100F3CC0', '423']
['ProductLocalizationTranslateResultClear', '0000000010143F60', '424']
['ProductLocalizationTranslateResultInit', '0000000010143D80', '425']
['ProductMetadataAppStoreUpdateInfoClear', '00000000100F36E0', '426']
['ProductMetadataAppStoreUpdateInfoInit', '00000000100F3710', '427']
['ProductMetadataContentCookiesArrayClear', '0000000010143FA0', '428']
['ProductMetadataContentCookiesArrayInit', '00000000100F3CC0', '429']
['ProductMetadataContentCookiesClear', '0000000010144010', '430']
['ProductMetadataContentCookiesInit', '00000000100F46D0', '431']
['ProductMetadataCookieArrayClear', '00000000100F52C0', '432']
['ProductMetadataCookieArrayInit', '00000000100F3CC0', '433']
['ProductMetadataCookieClear', '00000000100F5360', '434']
['ProductMetadataCookieInit', '00000000100F53C0', '435']
['ProductMetadataCookieVectorClear', '0000000010144040', '436']
['ProductMetadataCookieVectorInit', '00000000100F3710', '437']
['ProductMetadataDependencyArrayClear', '0000000010144060', '438']
['ProductMetadataDependencyArrayInit', '00000000100F3CC0', '439']
['ProductMetadataDependencyClear', '00000000101440F0', '440']
['ProductMetadataDependencyInit', '0000000010118200', '441']
['ProductMetadataDynamicTagHeuristicsClear', '0000000010117710', '442']
